n_records,method,seconds,violations_pred,f1_overall
500,Предложенный (онтология+агенты),0.001334,444,1.0
500,Бейзлайн (наивные правила),0.001089,389,0.5906
500,Конкурент (онтология без недопоставок),0.000701,246,0.713
2000,Предложенный (онтология+агенты),0.00547,1798,1.0
2000,Бейзлайн (наивные правила),0.002535,1567,0.5848
2000,Конкурент (онтология без недопоставок),0.002871,984,0.7074
5000,Предложенный (онтология+агенты),0.013549,4580,1.0
5000,Бейзлайн (наивные правила),0.006758,3950,0.5876
5000,Конкурент (онтология без недопоставок),0.007512,2506,0.7073
